"id","playerid","role","name","team","year","s1","s2","s3","s4","s5","s6","s7","s8","s9","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","b13","b14","b15","b16","ballsum","ballnoswing","strikesum","strikenoswing","strikeeirswing","plateappearance","hit","single","twobase","threebase","homerun","walk","hitbypitch","strikeout","doubleplay","atbats","sacrificeflight","allbunt","okbunt","allstolenbase","stolenbase"
"4262","1400202","playerB","小田 裕也","オリックス","2023","0.000","0.429","0.600","0.333","0.182","0.571","0.000","0.375","0.222","---","0.000","---","0.000","---","---","---","0.000","---","---","---","---","---","0.000","---","---","112","84","142","40","17","68","18","12","5","0","1","2","2","15","1","62","0","2","2","7","5"
"4270","1400201","playerB","西野 真弘","オリックス","2023","0.500","0.167","0.364","0.200","0.300","0.000","0.143","0.294","0.118","---","---","---","---","---","---","---","---","1.000","0.000","---","---","0.000","0.000","0.250","---","237","197","299","106","6","138","24","18","6","0","0","11","0","9","4","122","0","5","5","0","0"
"4279","1300109","playerB","若月 健矢","オリックス","2023","0.176","0.286","0.286","0.340","0.333","0.273","0.206","0.467","0.077","---","0.000","0.000","0.000","---","0.333","0.000","0.667","0.000","0.000","0.000","0.000","0.000","0.214","0.000","---","491","345","665","163","85","318","73","52","14","1","6","15","1","66","15","286","0","16","16","3","2"
"4283","1400195","playerB","山﨑 福也","オリックス","2023","---","---","1.000","0.000","---","---","---","---","0.500","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","5","3","12","3","0","5","2","2","0","0","0","0","0","0","0","5","0","0","0","0","0"
"4299","1500128","playerB","大城 滉二","オリックス","2023","0.250","0.000","0.333","0.375","0.286","0.000","0.250","0.000","0.500","---","---","0.000","0.000","---","---","---","0.000","---","0.000","---","0.000","0.000","---","---","0.000","106","77","109","29","8","51","9","5","3","0","1","4","1","8","2","46","0","0","0","1","1"
"4312","1400196","playerB","宗 佑磨","オリックス","2023","0.276","0.239","0.316","0.300","0.326","0.196","0.412","0.275","0.233","0.000","---","0.000","0.000","0.000","1.000","0.000","---","0.000","0.000","0.125","0.000","0.143","0.000","0.077","0.333","832","678","942","281","35","478","105","83","17","3","2","36","4","55","9","428","1","11","9","2","1"
"4319","1500135","playerB","杉本 裕太郎","オリックス","2023","0.367","0.333","0.167","0.302","0.300","0.240","0.256","0.333","0.083","0.000","0.000","0.000","0.000","---","0.000","0.333","0.167","0.333","0.125","---","0.111","0.077","0.071","0.000","---","676","464","730","151","105","370","82","53","12","1","16","19","9","101","2","339","2","1","1","1","0"
"4336","1600150","playerB","山岡 泰輔","オリックス","2023","---","---","---","0.000","---","0.000","---","---","0.000","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","4","3","8","5","1","3","0","0","0","0","0","0","0","2","0","3","0","0","0","0","0"
"4341","1600153","playerB","山本 由伸","オリックス","2023","0.000","---","---","---","---","---","0.000","---","---","---","---","---","---","---","---","---","---","---","0.000","---","---","---","---","---","---","3","1","8","4","0","3","0","0","0","0","0","0","0","2","0","3","0","0","0","0","0"
"4346","1700111","playerB","福田 周平","オリックス","2023","0.143","0.111","0.167","0.000","0.273","0.300","0.286","0.200","0.231","---","1.000","---","1.000","---","---","0.000","0.000","0.000","0.000","0.000","---","0.000","0.000","0.000","---","234","196","257","121","8","114","18","17","1","0","0","15","1","15","1","94","1","5","3","5","5"
"4355","1700116","playerB","山足 達也","オリックス","2023","1.000","0.000","---","0.000","0.500","0.000","0.500","0.000","0.333","---","0.000","---","---","---","0.000","---","---","---","---","---","0.000","---","0.000","---","---","40","29","54","18","4","27","5","4","1","0","0","2","0","5","1","25","0","1","0","2","2"
"4362","1400197","playerB","佐野 皓大","オリックス","2023","0.000","0.500","---","0.500","0.333","0.200","0.125","0.000","0.000","---","---","---","---","---","0.500","---","0.000","---","0.000","---","---","0.000","---","---","---","52","35","80","23","3","38","6","5","0","0","1","0","0","7","0","36","0","2","2","6","5"
"4371","1800104","playerB","中川 圭太","オリックス","2023","0.258","0.410","0.222","0.303","0.403","0.296","0.238","0.208","0.273","0.000","0.333","0.250","0.333","---","0.000","0.000","0.143","---","0.071","0.500","0.000","0.238","0.182","0.000","0.000","965","705","1146","389","72","563","136","90","29","5","12","43","7","90","9","506","1","8","6","10","5"
"4375","1800102","playerB","宜保 翔","オリックス","2023","0.300","0.273","0.182","0.182","0.316","0.375","0.100","0.500","0.316","---","0.000","0.000","0.000","---","---","0.000","---","0.500","---","0.000","0.000","0.500","0.333","0.333","---","219","150","321","69","12","162","41","36","5","0","0","6","1","25","4","147","1","9","7","3","1"
"4380","1800099","playerB","頓宮 裕真","オリックス","2023","0.400","0.429","0.261","0.283","0.396","0.235","0.250","0.222","0.500","---","0.000","0.250","0.500","---","0.000","0.000","0.538","0.000","0.500","1.000","0.000","0.063","0.167","0.250","1.000","874","647","980","326","59","451","123","84","23","0","16","41","6","69","11","401","2","1","1","0","0"
"4384","1800098","playerB","太田 椋","オリックス","2023","0.333","0.000","0.250","0.750","0.273","0.333","0.300","0.143","0.000","---","---","0.000","---","---","---","---","1.000","---","---","---","0.000","0.000","0.000","---","---","103","79","140","35","10","70","15","10","3","0","2","3","3","8","1","60","0","5","4","0","0"
"4391","1900088","playerB","紅林 弘太郎","オリックス","2023","0.209","0.263","0.263","0.333","0.429","0.241","0.208","0.300","0.474","---","0.000","0.000","0.500","---","0.000","0.400","0.286","0.000","0.091","0.000","0.000","0.333","0.083","0.000","0.000","847","654","1049","327","57","482","122","94","19","1","8","28","1","63","19","443","3","8","7","8","4"
"4396","1900087","playerB","宮城 大弥","オリックス","2023","---","---","1.000","0.000","0.000","---","---","1.000","0.000","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","9","8","21","6","3","6","2","2","0","0","0","0","0","3","0","6","0","0","0","0","0"
"4399","2000098","playerB","来田 涼斗","オリックス","2023","0.000","---","0.000","0.000","0.000","0.000","---","0.000","---","---","---","---","---","---","---","---","---","0.000","---","0.000","---","---","---","---","---","28","15","18","4","7","11","0","0","0","0","0","1","0","6","0","10","0","0","0","0","0"
"4401","2108913","playerB","セデーニョ","オリックス","2023","0.111","0.118","0.333","0.273","0.500","0.600","0.120","0.167","0.000","---","0.333","0.000","0.000","---","0.667","0.000","1.000","0.000","0.000","0.000","0.000","0.000","0.333","0.000","0.000","330","222","378","75","63","187","43","27","7","0","9","8","1","47","5","176","2","0","0","0","0"
"4402","2107897","playerB","茶野 篤政","オリックス","2023","0.231","0.450","0.500","0.259","0.268","0.250","0.063","0.269","0.167","---","0.200","0.000","0.000","0.000","0.000","0.500","0.000","0.600","0.000","0.000","---","0.200","0.133","0.167","0.000","574","402","736","214","66","344","74","66","7","0","1","16","8","76","1","312","1","9","7","12","7"
"4403","1751068","playerB","野口 智哉","オリックス","2023","0.077","0.286","0.222","0.238","0.423","0.250","0.167","0.235","0.231","---","0.333","0.429","0.000","0.000","---","1.000","1.000","0.400","---","---","0.000","0.000","0.000","0.071","0.000","532","378","533","160","68","257","51","35","11","3","2","21","5","70","3","226","0","7","5","6","4"
"4404","1160424","playerB","ゴンザレス","オリックス","2023","0.462","0.160","0.000","0.364","0.464","0.282","0.217","0.545","0.216","---","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","---","0.333","0.000","0.000","0.000","0.000","0.000","575","378","611","173","63","321","65","39","14","0","12","15","5","85","3","299","1","1","1","2","2"
"4405","2050254","playerB","池田 陵真","オリックス","2023","0.000","0.333","---","0.200","0.000","0.500","0.143","0.333","---","---","---","0.000","---","---","---","---","1.000","---","---","---","0.000","0.200","0.000","---","---","85","57","81","21","12","39","7","6","1","0","0","4","1","9","1","34","0","0","0","1","1"
"4406","1650722","playerB","杉澤 龍","オリックス","2023","---","---","0.000","---","1.000","---","---","---","0.000","---","---","0.000","---","---","---","---","---","---","---","---","---","---","---","---","---","4","2","8","1","4","5","1","1","0","0","0","0","0","2","0","5","0","0","0","0","0"
"4407","1900095","playerB","平野 大和","オリックス","2023","---","1.000","---","---","---","---","---","0.000","---","---","---","---","---","---","---","---","---","---","---","---","---","0.000","0.000","---","---","5","2","11","2","2","5","1","1","0","0","0","0","0","2","0","5","0","0","0","0","0"
"4408","1960379","playerB","シュウィンデル","オリックス","2023","0.231","0.500","0.500","0.250","0.000","0.000","0.167","0.000","0.000","---","0.000","0.000","0.000","---","0.000","---","0.000","---","---","0.000","0.000","0.200","0.000","0.000","---","115","66","132","31","16","70","13","9","3","0","1","0","0","17","2","69","1","0","0","0","0"
"4409","2103747","playerB","渡部 遼人","オリックス","2023","0.000","0.000","0.000","0.333","0.000","1.000","0.000","0.286","0.000","---","1.000","---","---","---","0.000","---","---","1.000","---","0.000","---","---","0.000","0.000","---","102","75","128","43","3","52","7","5","2","0","0","8","0","7","1","41","1","2","2","2","2"
"4410","1650056","playerB","福永 奨","オリックス","2023","---","---","---","---","---","---","---","0.000","---","---","---","---","---","---","---","---","---","---","---","---","---","0.000","---","---","---","4","3","6","1","0","2","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0"
"4411","1750207","playerB","大里 昂生","オリックス","2023","---","---","---","---","0.000","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","0.000","---","---","---","---","5","4","6","2","0","2","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0"
"4412","1750595","playerB","曽谷 龍平","オリックス","2023","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","0.000","---","3","2","2","1","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0"
"4449","1000128","playerB","柳田 悠岐","ソフトバンク","2023","0.294","0.333","0.382","0.359","0.397","0.508","0.192","0.378","0.167","---","0.182","0.182","0.000","---","0.000","0.000","0.200","0.333","0.000","0.000","0.000","0.000","0.000","0.158","0.000","1226","887","1112","195","144","625","163","109","29","3","22","64","9","97","9","546","6","0","0","1","1"
"4469","1000035","playerB","今宮 健太","ソフトバンク","2023","0.364","0.233","0.067","0.333","0.404","0.077","0.218","0.364","0.313","0.000","0.500","0.000","0.000","---","0.333","1.000","0.000","0.333","0.250","0.000","0.000","0.000","0.154","0.333","0.000","774","583","996","318","55","484","109","78","22","0","9","27","2","58","14","427","4","27","24","4","4"
"4480","800081","playerB","中村 晃","ソフトバンク","2023","0.300","0.341","0.273","0.256","0.222","0.256","0.261","0.298","0.340","---","0.000","0.273","0.333","---","0.250","0.500","0.000","0.500","0.500","0.000","1.000","0.111","0.091","0.182","0.333","1139","920","1390","631","43","585","140","120","13","2","5","60","3","53","8","511","4","7","7","2","0"
"4523","1000175","playerB","牧原 大成","ソフトバンク","2023","0.400","0.263","0.276","0.294","0.289","0.341","0.267","0.278","0.295","0.000","0.333","0.000","0.000","---","---","0.000","0.000","0.400","0.000","0.000","0.000","0.167","0.160","0.000","0.000","644","370","692","174","39","387","93","77","13","1","2","11","5","66","6","359","5","7","7","5","3"
"4558","1200106","playerB","東浜 巨","ソフトバンク","2023","---","---","---","---","---","0.000","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","1","1","6","4","0","2","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0"
"4574","1000176","playerB","拓也","ソフトバンク","2023","0.190","0.263","0.250","0.283","0.351","0.095","0.170","0.294","0.125","---","---","0.000","0.000","---","0.333","0.333","0.000","0.000","0.250","---","0.000","0.000","0.053","0.000","---","777","598","933","266","131","420","74","47","16","1","10","31","3","117","5","366","2","25","18","0","0"
