"id","playerid","role","name","team","year","s1","s2","s3","s4","s5","s6","s7","s8","s9","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","b13","b14","b15","b16","numqs","win","lose","save","strikeout","numofmatches","innings","strikeoutrate","numofpitches","numofbatters","hitsallowed","homerunallowed","basesonballs","hitbypitch","intentionalwalk","runsallowed","earnedruns","completegames","shutouts","nowalk","opponentsbattingaverage","qsrate","supportpoint","runsupport","whip","maxspeed","minspeed","ballspeeddifference"
"1","500032","playerP","野間口 貴彦","巨人","2012","---","---","---","0.000","1.000","0.000","1.000","0.000","0.000","---","---","---","---","---","---","---","---","---","---","---","---","0.000","0.000","0.000","---","0","0","0","0","2","3","3","6.00","44","11","2","0","1","0","0","0","0","0","0","0",".200","0.00%","0","0.00","1.00","143","115","28"
"2","900104","playerP","ロメロ","ソフトバンク","2012","0.000","1.000","0.000","---","1.000","0.500","0.333","0.500","0.000","---","---","---","---","---","---","---","---","0.000","---","---","---","0.000","---","---","---","0","0","0","0","3","4","3+2/3","7.36","75","18","5","1","1","0","0","5","3","0","0","0",".333","0.00%","0","0.00","1.64","148","117","31"
"3","1100040","playerP","高木 京介","巨人","2012","0.286","0.083","0.222","0.333","0.286","0.053","0.250","0.250","0.100","---","0.000","---","0.000","---","---","---","---","0.000","0.000","---","---","---","0.000","0.200","0.000","0","2","0","1","28","34","31+1/3","8.04","472","121","16","0","10","1","0","2","2","0","0","0",".150","0.00%","0","0.00","0.83","149","97","52"
"4","1100040","playerP","高木 京介","巨人","2013","0.267","0.429","0.333","0.067","0.294","0.269","0.286","0.083","0.188","0.000","0.000","0.000","0.000","---","1.000","---","0.000","---","0.000","---","---","0.000","0.200","0.000","0.000","0","3","0","0","40","46","47+2/3","7.55","854","209","37","8","27","3","0","27","23","0","0","0",".215","0.00%","0","0.00","1.34","148","97","51"
"5","1100040","playerP","高木 京介","巨人","2014","0.429","0.222","0.000","0.250","0.375","0.333","0.500","0.167","0.308","0.000","0.500","0.000","0.500","---","0.000","---","0.000","---","0.000","---","0.000","0.000","0.500","0.000","0.000","0","0","0","0","26","26","28+1/3","8.26","510","116","24","4","9","1","1","15","15","0","0","0",".238","0.00%","0","0.00","1.16","148","101","47"
"6","1100040","playerP","高木 京介","巨人","2015","0.286","0.286","0.133","0.250","0.313","0.727","0.222","0.182","0.000","0.000","0.000","0.000","0.000","0.000","1.000","---","---","0.000","0.000","0.000","0.000","0.200","0.000","0.000","0.000","0","1","0","0","43","33","41","9.44","694","167","31","4","13","0","0","10","10","0","0","0",".207","0.00%","0","0.00","1.07","146","88","58"
"7","1100040","playerP","高木 京介","巨人","2018","0.000","0.667","1.000","0.000","0.500","0.500","0.000","1.000","---","---","---","---","---","---","---","---","---","---","---","0.000","---","---","---","---","---","0","0","0","0","1","3","5","1.80","91","28","8","0","4","0","0","7","7","0","0","0",".421","0.00%","0","0.00","2.40","142","94","48"
"8","1100040","playerP","高木 京介","巨人","2019","0.200","0.316","0.308","0.188","0.333","0.267","0.417","0.167","0.240","---","0.500","0.143","---","---","1.000","---","---","---","0.000","---","---","0.000","0.286","0.167","0.000","0","3","1","0","48","55","54","8.00","819","220","51","11","13","0","2","23","23","0","0","0",".254","0.00%","0","0.00","1.19","153","91","62"
"9","1100040","playerP","高木 京介","巨人","2020","0.000","1.000","0.000","---","1.000","0.167","0.333","0.200","0.333","---","---","---","0.000","---","0.000","---","---","0.000","0.000","---","---","0.000","0.000","1.000","---","0","0","1","1","12","17","12+1/3","8.76","192","49","11","1","2","0","0","5","5","0","0","0",".234","0.00%","0","0.00","1.05","150","101","49"
"10","1100040","playerP","高木 京介","巨人","2021","0.667","0.286","0.000","0.375","0.429","0.200","0.286","0.100","0.250","---","0.000","0.500","0.000","---","0.500","---","1.000","---","---","1.000","---","0.667","0.250","0.000","0.000","0","1","0","0","15","15","18+1/3","7.36","317","81","22","1","7","0","0","9","9","0","0","0",".310","0.00%","0","0.00","1.58","148","99","49"
"11","1100040","playerP","高木 京介","巨人","2022","0.667","0.375","0.000","0.444","0.167","0.000","0.000","0.333","0.500","---","0.000","0.250","---","---","---","---","0.667","---","---","0.000","---","0.200","0.667","0.000","0.000","0","0","1","0","13","17","19+1/3","6.05","318","86","19","1","8","0","0","9","6","0","0","0",".271","0.00%","0","0.00","1.40","148","100","48"
"12","1100040","playerP","高木 京介","巨人","2023","---","---","0.000","0.000","---","1.000","---","---","---","---","---","---","---","---","---","---","0.000","---","---","---","0.000","---","0.000","---","---","0","0","0","0","1","1","2","4.50","22","8","1","0","0","1","0","0","0","0","0","0",".167","0.00%","0","0.00","0.50","146","103","43"
"13","600098","playerP","山口 鉄也","巨人","2012","0.357","0.375","0.333","0.257","0.313","0.160","0.175","0.154","0.156","---","---","---","0.000","---","0.000","0.000","0.000","---","0.143","0.000","0.000","0.000","0.000","0.000","0.000","0","3","2","5","68","72","75+1/3","8.12","1075","277","47","1","7","3","2","7","7","0","0","0",".179","0.00%","0","0.00","0.72","151","115","36"
"14","600098","playerP","山口 鉄也","巨人","2013","0.400","0.333","0.167","0.034","0.333","0.091","0.286","0.375","0.222","---","0.000","0.000","1.000","---","0.000","0.000","0.500","0.000","0.000","0.000","0.000","0.111","0.083","0.143","0.000","0","4","3","6","55","64","66+2/3","7.43","1017","262","47","1","17","2","2","12","9","0","0","0",".198","0.00%","0","0.00","0.96","150","116","34"
"15","600098","playerP","山口 鉄也","巨人","2014","0.143","0.214","0.333","0.167","0.318","0.241","0.375","0.606","0.227","---","0.000","0.000","0.000","---","---","---","0.500","---","0.000","0.000","0.333","0.125","0.333","0.000","0.000","0","4","3","2","42","60","56+1/3","6.71","923","246","61","1","20","6","3","19","19","0","0","0",".290","0.00%","0","0.00","1.44","152","112","40"
"16","600098","playerP","山口 鉄也","巨人","2015","0.250","0.583","0.300","0.333","0.250","0.167","0.233","0.300","0.333","---","0.000","---","---","---","0.000","---","0.143","0.000","0.500","0.000","0.000","0.300","0.000","0.250","0.000","0","4","5","2","31","60","52+2/3","5.30","824","216","48","5","15","2","0","18","16","0","0","0",".254","0.00%","0","0.00","1.20","147","111","36"
"17","600098","playerP","山口 鉄也","巨人","2016","0.500","0.214","0.000","0.542","0.389","0.304","0.176","0.222","0.118","---","---","0.000","---","---","0.000","---","0.000","1.000","0.000","0.000","0.000","0.333","0.000","0.143","---","0","1","6","1","28","63","48","5.25","761","204","48","6","12","2","0","30","26","0","0","0",".261","0.00%","0","0.00","1.25","148","111","37"
"18","600098","playerP","山口 鉄也","巨人","2017","0.667","0.200","0.000","0.143","0.600","0.000","0.250","0.400","0.250","---","---","---","---","---","---","---","---","---","---","0.000","0.000","0.000","0.000","0.500","0.000","0","1","1","0","10","18","13+1/3","6.75","237","62","14","1","8","0","0","6","6","0","0","0",".259","0.00%","0","0.00","1.65","143","113","30"
