"id","year","league","team","打率","打点","本塁打","安打数","単打","二塁打","三塁打","出塁率","長打率","OPS","得点圏打数","得点圏安打","得点圏打率","UC打数","UC安打","UC率","UC本塁打","試合数","打席数","打数","得点","四球","死球","企盗塁","盗塁","盗塁成功率","企犠打","犠打","犠打成功率","犠飛","代打数","代打安打","代打率","併殺","失策","三振"
"1","2012","セ","巨",".256","505","94","1,216","897","207","18",".326",".367",".693","1,242","312",".251","2,213","557",".252","40","144","5,420","4,742","534","455","52","134","102",".761","157","134",".854","36","253","67",".265","99","77","952"
"2","2012","セ","中",".245","400","70","1,156","890","185","11",".311",".334",".645","1,145","258",".225","2,375","581",".245","40","144","5,320","4,714","423","416","45","91","59",".648","153","120",".784","25","237","46",".194","105","55","904"
"3","2012","セ","ヤ",".260","471","90","1,218","942","168","18",".325",".361",".686","1,202","310",".258","2,357","587",".249","47","144","5,360","4,693","499","421","47","94","63",".670","203","171",".842","27","241","54",".224","116","72","805"
"4","2012","セ","広",".233","403","76","1,077","796","192","13",".297",".330",".627","1,146","257",".224","2,243","493",".220","26","144","5,246","4,614","427","374","57","117","79",".675","210","175",".833","26","258","65",".252","86","113","912"
"5","2012","セ","阪",".236","392","58","1,115","871","169","17",".302",".316",".618","1,162","264",".227","2,389","544",".228","26","144","5,305","4,717","410","415","36","100","65",".650","145","115",".793","22","298","62",".208","97","69","957"
"6","2012","セ","Ｄ",".233","400","66","1,083","832","164","21",".298",".320",".618","1,072","253",".236","2,329","548",".235","25","144","5,227","4,640","422","380","56","105","62",".590","158","124",".785","26","278","65",".234","98","80","931"
"7","2013","セ","巨",".262","575","145","1,285","911","215","14",".326",".400",".727","1,219","316",".259","2,288","594",".260","62","144","5,525","4,906","597","432","51","119","90",".756","127","109",".858","27","263","62",".236","97","62","930"
"8","2013","セ","阪",".255","503","82","1,236","920","216","18",".326",".358",".684","1,261","323",".256","2,400","589",".245","41","144","5,511","4,842","531","489","37","119","81",".681","144","112",".778","31","258","45",".174","107","65","933"
"9","2013","セ","広",".248","528","110","1,174","845","203","16",".319",".367",".686","1,212","304",".251","2,087","523",".251","44","144","5,449","4,739","557","467","47","159","112",".704","182","160",".879","36","284","62",".218","89","106","1,089"
"10","2013","セ","中",".245","501","111","1,187","871","190","15",".315",".359",".675","1,133","277",".244","2,366","580",".245","50","144","5,486","4,844","526","471","41","88","57",".648","129","98",".760","32","268","60",".224","129","78","939"
"11","2013","セ","Ｄ",".262","595","132","1,271","929","191","19",".325",".390",".715","1,187","338",".285","2,186","563",".258","42","144","5,487","4,856","630","400","69","87","54",".621","153","133",".869","29","279","58",".208","111","66","1,057"
"12","2013","セ","ヤ",".253","558","134","1,220","907","163","16",".327",".377",".703","1,184","306",".258","2,037","487",".239","51","144","5,542","4,826","577","519","25","95","70",".737","176","146",".830","26","279","72",".258","101","93","900"
"13","2014","セ","巨",".257","570","144","1,248","890","207","7",".321",".391",".712","1,160","336",".290","2,250","603",".268","64","144","5,480","4,862","596","419","54","132","102",".773","141","117",".830","28","221","54",".244","124","71","923"
"14","2014","セ","阪",".264","563","94","1,274","939","226","15",".335",".376",".710","1,259","340",".270","2,124","552",".260","46","144","5,507","4,823","599","483","45","92","55",".598","151","121",".801","35","263","65",".247","124","85","1,009"
"15","2014","セ","広",".272","612","153","1,326","931","219","23",".337",".420",".757","1,287","350",".272","2,001","551",".275","64","144","5,538","4,878","649","450","50","150","96",".640","135","120",".889","40","285","79",".277","104","89","1,134"
"16","2014","セ","中",".258","537","87","1,250","927","215","21",".325",".364",".689","1,266","317",".250","2,252","579",".257","44","144","5,521","4,854","570","467","34","102","75",".735","152","126",".829","40","292","67",".229","109","75","926"
"17","2014","セ","Ｄ",".253","540","121","1,224","865","211","27",".317",".383",".700","1,174","326",".278","2,060","506",".246","54","144","5,464","4,833","568","400","61","100","76",".760","176","149",".847","21","285","77",".270","110","116","1,107"
"18","2014","セ","ヤ",".279","647","139","1,401","1,024","223","15",".339",".412",".752","1,262","350",".277","1,991","555",".279","48","144","5,653","5,023","667","443","35","83","62",".747","135","118",".874","34","284","74",".261","112","97","877"
"19","2015","セ","ヤ",".257","547","107","1,240","894","223","16",".322",".377",".699","1,198","321",".268","2,211","568",".257","39","143","5,423","4,817","574","433","37","111","83",".748","128","104",".813","31","262","55",".210","96","71","909"
"20","2015","セ","巨",".243","466","97","1,135","832","190","16",".313",".354",".667","1,149","289",".252","2,459","598",".243","44","143","5,299","4,668","488","434","52","130","99",".762","156","115",".737","30","251","61",".243","92","72","974"
"21","2015","セ","阪",".247","446","78","1,160","875","192","15",".317",".343",".661","1,188","284",".239","2,273","575",".253","42","143","5,373","4,705","465","464","38","84","48",".571","170","138",".812","28","276","65",".236","93","77","1,001"
"22","2015","セ","広",".246","473","105","1,170","832","201","32",".312",".368",".681","1,162","273",".235","2,349","545",".232","52","143","5,386","4,752","506","441","29","130","80",".615","167","135",".808","29","227","59",".260","87","88","1,082"
"23","2015","セ","中",".253","434","71","1,222","944","188","19",".313",".344",".657","1,224","304",".248","2,568","642",".250","39","143","5,414","4,835","473","401","36","121","88",".727","134","114",".851","27","271","77",".284","83","94","1,000"
"24","2015","セ","Ｄ",".249","488","112","1,186","837","219","18",".306",".373",".679","1,152","311",".270","2,333","576",".247","52","143","5,328","4,763","508","361","43","93","57",".613","168","137",".815","24","306","63",".206","77","82","1,047"
"25","2016","セ","広",".272","649","153","1,338","947","203","35",".343",".421",".765","1,292","341",".264","2,163","591",".273","57","143","5,582","4,914","684","500","47","170","118",".694","108","91",".843","29","275","62",".225","85","67","1,063"
"26","2016","セ","巨",".251","497","128","1,203","839","217","19",".310",".384",".694","1,157","286",".247","2,240","586",".262","67","143","5,356","4,797","519","389","35","88","62",".705","139","112",".806","23","213","37",".174","100","85","961"
"27","2016","セ","Ｄ",".249","548","140","1,205","850","194","21",".309",".385",".694","1,146","321",".280","2,140","538",".251","58","143","5,364","4,838","572","373","54","100","67",".670","110","81",".736","18","278","67",".241","92","73","1,049"
